"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
1935,1939,36482,5,1,2021-08-20 11:05:00,2021-08-20 18:13:00,"20/08/2021 11:05","20/08/2021 11:05",7.1,7.13,-0.0333,7.1,3.55,7.25,0.117,NA,0.989,"mg NH3 /m3",NA,NA,NA,NA,NA,2.14,0.0305,15.2,15.2,0.217,16.5,NA,NA,NA,NA,3.18,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36483,6,2,2021-08-20 18:13:00,2021-08-21 07:32:00,"20/08/2021 18:13","20/08/2021 18:13",13.3,13.3,-0.0167,20.4,13.8,20.6,7.25,NA,0.341,"mg NH3 /m3",NA,NA,NA,NA,NA,0.162,0.00231,2.15,17.3,0.248,11.6,NA,NA,NA,NA,1.19,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36484,7,3,2021-08-21 07:32:00,2021-08-21 18:41:00,"21/08/2021 07:32","21/08/2021 07:32",11.2,11.2,0.05,31.6,26,31.7,20.6,NA,-0.477,"mg NH3 /m3",NA,NA,NA,NA,NA,0.258,0.00368,2.89,20.2,0.289,15.9,NA,NA,NA,NA,1.72,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36485,8,4,2021-08-21 18:41:00,2021-08-22 07:33:00,"21/08/2021 18:41","21/08/2021 18:41",12.9,12.9,0.0333,44.5,38,44.6,31.7,NA,2.57,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0271,0.000387,0.349,20.6,0.294,10.6,NA,NA,NA,NA,0.367,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36486,9,5,2021-08-22 07:33:00,2021-08-22 18:38:00,"22/08/2021 07:33","22/08/2021 07:33",11.1,11.1,0.0167,55.6,50,55.7,44.6,NA,2.64,"mg NH3 /m3",NA,NA,NA,NA,NA,0.184,0.00263,2.04,22.6,0.323,18.1,NA,NA,NA,NA,2.28,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36487,10,6,2021-08-22 18:38:00,2021-08-23 07:40:00,"22/08/2021 18:38","22/08/2021 18:38",13,13,-0.0333,68.6,62.1,68.7,55.7,NA,0.684,"mg NH3 /m3",NA,NA,NA,NA,NA,0.01,0.000144,0.131,22.7,0.325,10.7,NA,NA,NA,NA,0.463,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36488,11,7,2021-08-23 07:40:00,2021-08-23 19:18:00,"23/08/2021 07:40","23/08/2021 07:40",11.6,11.6,-0.0333,80.2,74.4,80.3,68.7,NA,2.35,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0605,0.000864,0.701,23.4,0.335,18.9,NA,NA,NA,NA,1.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36489,12,8,2021-08-23 19:18:00,2021-08-24 07:24:00,"23/08/2021 19:18","23/08/2021 19:18",12.1,12.1,0,92.3,86.2,92.4,80.3,NA,-0.235,"mg NH3 /m3",NA,NA,NA,NA,NA,0.00202,2.89e-05,0.0245,23.5,0.335,12.4,NA,NA,NA,NA,0.56,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36490,13,9,2021-08-24 07:24:00,2021-08-24 18:58:00,"24/08/2021 07:24","24/08/2021 07:24",11.6,11.6,0.0333,104,98.1,104,92.4,NA,2.09,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0426,0.000609,0.494,24,0.342,17.8,NA,NA,NA,NA,1.91,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36491,14,10,2021-08-24 18:58:00,2021-08-25 07:28:00,"24/08/2021 18:58","24/08/2021 18:58",12.5,12.5,0,116,110,116,104,NA,0.196,"mg NH3 /m3",NA,NA,NA,NA,NA,0.00859,0.000123,0.107,24.1,0.344,14.4,NA,NA,NA,NA,3.18,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36492,15,11,2021-08-25 07:28:00,2021-08-25 19:02:00,"25/08/2021 07:28","25/08/2021 07:28",11.6,11.6,0.0333,128,122,128,116,NA,-0.198,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0161,0.00023,0.187,24.3,0.347,17.8,NA,NA,NA,NA,4.06,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36493,16,12,2021-08-25 19:02:00,2021-08-26 10:32:00,"25/08/2021 19:02","25/08/2021 19:02",15.5,15.5,0,144,136,144,128,NA,1.37,"mg NH3 /m3",NA,NA,NA,NA,NA,-0.00169,-2.42e-05,-0.0262,24.2,0.346,13.7,NA,NA,NA,NA,2.37,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36494,17,13,2021-08-26 10:32:00,2021-08-26 18:53:00,"26/08/2021 10:32","26/08/2021 10:32",8.4,8.35,0.05,152,148,152,144,NA,3.51,"mg NH3 /m3",NA,NA,NA,NA,NA,0.011,0.000157,0.0924,24.3,0.347,15.2,NA,NA,NA,NA,4.2,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36495,18,14,2021-08-26 18:53:00,2021-08-27 07:34:00,"26/08/2021 18:53","26/08/2021 18:53",12.7,12.7,0.0167,165,158,165,152,NA,0.778,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0372,0.000532,0.473,24.8,0.354,14.2,NA,NA,NA,NA,3.64,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36496,19,15,2021-08-27 07:34:00,2021-08-27 17:41:00,"27/08/2021 07:34","27/08/2021 07:34",10.1,10.1,-0.0167,175,170,175,165,NA,-0.0341,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0118,0.000169,0.12,24.9,0.356,15.3,NA,NA,NA,NA,4.45,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
