20-05-2003 08:47;20-05-2003 09:17
20-05-2003 09:17;20-05-2003 09:47
20-05-2003 09:47;20-05-2003 10:47
20-05-2003 10:47;20-05-2003 11:47
20-05-2003 11:47;20-05-2003 14:18
20-05-2003 14:18;20-05-2003 16:36
20-05-2003 16:36;20-05-2003 20:22
20-05-2003 20:22;21-05-2003 06:28
21-05-2003 06:28;21-05-2003 11:16
21-05-2003 11:16;21-05-2003 19:22
21-05-2003 19:22;22-05-2003 06:24
22-05-2003 06:24;22-05-2003 11:52
22-05-2003 11:52;22-05-2003 16:06
22-05-2003 16:06;23-05-2003 08:32
23-05-2003 08:32;23-05-2003 18:51
23-05-2003 18:51;24-05-2003 07:25
24-05-2003 07:25;24-05-2003 19:48
24-05-2003 19:48;25-05-2003 06:37
25-05-2003 06:37;25-05-2003 19:07
25-05-2003 19:07;26-05-2003 06:46
26-05-2003 06:46;26-05-2003 19:57
26-05-2003 19:57;27-05-2003 06:23
27-05-2003 06:23;28-05-2003 04:30
28-05-2003 04:30;29-05-2003 21:47
