"institute","cpmid","pub.id","proj","exper","field","plot","rep","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.start","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","uptake","file","treat","meas.tech","meas.tech.det","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","rep2","acid","meas.tech.orig","meas.tech2","crop.orig","man.source.orig","app.method.orig","app.method2","incorp.orig","date.start","flag.int","soil.samp.z","inst","eid","pid","pmid"
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:1.T:30.R:1.R2:.T:2021-11-09 09:38:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","1","1",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,6.78,NA,3.48,1.73,NA,NA,NA,7.7,2021-11-09 09:38:00,2021-11-09 09:38:00,"os",30,"t/ha","none",NA,NA,25,NA,NA,"grass",7.6,NA,NA,".",5,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","30","Wind tunnel",NA,"09-11-2021 09:38","09-11-2021 09:38","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:1.T:30.R:1.R2:.T:2021-11-09 09:38:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",51.9,NA,1.7,3.03,5.85,8.58,12.5,14.2,15.7,17.9,17.9,17.9,NA,1.7,3.03,5.85,8.58,12.5,14.2,15.7,17.9,17.9,17.9,NA,0.0328,0.0583,0.113,0.165,0.242,0.274,0.302,0.344,0.345,0.345,NA,0,0,0,0,0,0,0,0,0,0,NA,8.04,8.85,9.58,6.63,7.06,7.3,7.27,7.42,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,100,96,1.73,0,0,1.73,8.12,1.73,172,2021-11-09 09:38:00,2021-11-16 12:36:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1922,1926
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:10.T:20.R:3.R2:.T:2021-11-09 10:50:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","10","3",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,6.78,NA,3.48,1.73,NA,NA,NA,7.7,2021-11-09 10:50:00,2021-11-09 10:50:00,"os",20,"t/ha","none",NA,NA,25,NA,NA,"grass",14.6,NA,NA,NA,12,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","20","Wind tunnel",NA,"09-11-2021 10:50","09-11-2021 10:50","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:10.T:20.R:3.R2:.T:2021-11-09 10:50:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",34.6,NA,2,2.99,5.1,7.63,9.82,10.6,11.2,12.2,12.3,12.3,NA,2,2.99,5.1,7.63,9.82,10.6,11.2,12.2,12.3,12.3,NA,0.0577,0.0864,0.147,0.221,0.284,0.306,0.325,0.354,0.354,0.354,NA,0,0,0,0,0,0,0,0,0,0,NA,9.82,10.1,9.92,8.34,7.95,7.86,7.78,7.68,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,194,94,1.73,0.0107,0.369,1.73,9.83,1.73,171,2021-11-09 10:50:00,2021-11-16 12:04:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1923,1927
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:12.T:30.R:3.R2:.T:2021-11-09 11:06:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","12","3",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,6.78,NA,3.48,1.73,NA,NA,NA,7.7,2021-11-09 11:06:00,2021-11-09 11:06:00,"os",30,"t/ha","none",NA,NA,25,NA,NA,"grass",15.6,NA,NA,NA,13,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","30","Wind tunnel",NA,"09-11-2021 11:06","09-11-2021 11:06","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:12.T:30.R:3.R2:.T:2021-11-09 11:06:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",51.9,NA,1.97,3.11,5.86,9.39,13.1,14.7,16,17.9,17.9,17.9,NA,1.97,3.11,5.86,9.39,13.1,14.7,16,17.9,17.9,17.9,NA,0.038,0.06,0.113,0.181,0.252,0.284,0.309,0.346,0.346,0.346,NA,0,0,0,0,0,0,0,0,0,0,NA,9.88,10.2,9.78,8.58,8.12,7.96,7.88,7.72,7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,288,94,1.73,0.00494,0.256,1.73,9.83,1.73,171,2021-11-09 11:06:00,2021-11-16 12:20:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1924,1928
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:2.T:20.R:1.R2:.T:2021-11-09 09:46:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","2","1",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,6.78,NA,3.48,1.73,NA,NA,NA,7.7,2021-11-09 09:46:00,2021-11-09 09:46:00,"os",20,"t/ha","none",NA,NA,25,NA,NA,"grass",8.6,NA,NA,NA,6,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","20","Wind tunnel",NA,"09-11-2021 09:46","09-11-2021 09:46","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:2.T:20.R:1.R2:.T:2021-11-09 09:46:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",34.6,NA,1.77,2.85,5,7.74,10.1,11.2,12,13.4,13.4,13.4,NA,1.77,2.85,5,7.74,10.1,11.2,12,13.4,13.4,13.4,NA,0.0512,0.0825,0.145,0.224,0.292,0.323,0.346,0.387,0.387,0.387,NA,0,0,0,0,0,0,0,0,0,0,NA,8.51,9.16,9.74,7.48,7.47,7.56,7.46,7.53,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,383,95,1.73,0.0052,0.18,1.73,9.83,1.73,172,2021-11-09 09:46:00,2021-11-16 12:44:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1925,1929
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:4.T:20diluted.R:1.R2:.T:2021-11-09 10:02:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","4","1",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","Dilution",NA,NA,4.47,NA,2.3,1.14,NA,NA,NA,7.75,2021-11-09 10:02:00,2021-11-09 10:02:00,"os",30,"t/ha","none",NA,NA,25,NA,NA,"grass",9.6,NA,NA,NA,7,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","20diluted","Wind tunnel",NA,"09-11-2021 10:02","09-11-2021 10:02","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:4.T:20diluted.R:1.R2:.T:2021-11-09 10:02:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",34.3,NA,1.96,2.91,4.62,6.48,8.26,9.22,9.98,11.1,11.1,11.1,NA,1.96,2.91,4.62,6.48,8.26,9.22,9.98,11.1,11.1,11.1,NA,0.0573,0.0851,0.135,0.189,0.241,0.269,0.291,0.325,0.325,0.325,NA,0,0,0,0,0,0,0,0,0,0,NA,8.6,9.2,9.69,7.88,7.73,7.71,7.64,7.63,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,478,95,1.73,0.00825,0.283,1.73,9.83,1.73,172,2021-11-09 10:02:00,2021-11-16 13:00:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1926,1930
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:5.T:30.R:2.R2:.T:2021-11-09 10:10:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","5","2",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,6.78,NA,3.48,1.73,NA,NA,NA,7.7,2021-11-09 10:10:00,2021-11-09 10:10:00,"os",30,"t/ha","none",NA,NA,25,NA,NA,"grass",10.6,NA,NA,NA,8,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","30","Wind tunnel",NA,"09-11-2021 10:10","09-11-2021 10:10","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:5.T:30.R:2.R2:.T:2021-11-09 10:10:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",51.9,NA,3.1,4.82,8.46,12.8,17,18.9,20.4,22.8,22.8,22.8,NA,3.1,4.82,8.46,12.8,17,18.9,20.4,22.8,22.8,22.8,NA,0.0597,0.0929,0.163,0.246,0.327,0.365,0.393,0.439,0.44,0.44,NA,0,0,0,0,0,0,0,0,0,0,NA,8.6,9.2,9.57,7.89,7.73,7.72,7.64,7.62,7.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,573,95,1.73,0.00765,0.397,1.73,9.83,1.73,172,2021-11-09 10:10:00,2021-11-16 13:08:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1927,1931
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:6.T:20diluted.R:2.R2:.T:2021-11-09 10:18:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","6","2",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","Dilution",NA,NA,4.47,NA,2.3,1.14,NA,NA,NA,7.75,2021-11-09 10:18:00,2021-11-09 10:18:00,"os",30,"t/ha","none",NA,NA,25,NA,NA,"grass",11.6,NA,NA,NA,9,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","20diluted","Wind tunnel",NA,"09-11-2021 10:18","09-11-2021 10:18","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:6.T:20diluted.R:2.R2:.T:2021-11-09 10:18:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",34.3,NA,1.81,2.84,4.82,6.97,9.12,10.2,11.1,12.5,12.5,12.5,NA,1.81,2.84,4.82,6.97,9.12,10.2,11.1,12.5,12.5,12.5,NA,0.0528,0.083,0.141,0.203,0.266,0.299,0.324,0.365,0.366,0.366,NA,0,0,0,0,0,0,0,0,0,0,NA,9.06,9.54,9.74,7.96,7.76,7.73,7.66,7.63,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,667,94,1.73,0.00549,0.188,1.73,9.83,1.73,171,2021-11-09 10:18:00,2021-11-16 11:32:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1928,1932
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:8.T:20.R:2.R2:.T:2021-11-09 10:34:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","8","2",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,6.78,NA,3.48,1.73,NA,NA,NA,7.7,2021-11-09 10:34:00,2021-11-09 10:34:00,"os",20,"t/ha","none",NA,NA,25,NA,NA,"grass",12.6,NA,NA,NA,10,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","20","Wind tunnel",NA,"09-11-2021 10:34","09-11-2021 10:34","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:8.T:20.R:2.R2:.T:2021-11-09 10:34:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",34.6,NA,1.69,2.55,4.25,6.53,8.69,9.66,10.4,11.7,11.7,11.7,NA,1.69,2.55,4.25,6.53,8.69,9.66,10.4,11.7,11.7,11.7,NA,0.0489,0.0736,0.123,0.189,0.251,0.279,0.302,0.337,0.338,0.338,NA,0,0,0,0,0,0,0,0,0,0,NA,9.48,9.82,9.8,8.28,7.96,7.87,7.78,7.7,7.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,761,94,1.73,0.00859,0.297,1.73,9.83,1.73,171,2021-11-09 10:34:00,2021-11-16 11:48:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1929,1933
"AU","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:9.T:20diluted.R:3.R2:.T:2021-11-09 10:42:00.M:Wind tunnelNA",NA,"eGylle","21E","WUR","9","3",0.2,52,5.65,"NL","Flat",16,NA,NA,3.5,NA,0.49,NA,"wet",5.5,0.98,"Yes","No","cat",NA,NA,"Slurry","Dilution",NA,NA,4.47,NA,2.3,1.14,NA,NA,NA,7.75,2021-11-09 10:42:00,2021-11-09 10:42:00,"os",30,"t/ha","none",NA,NA,25,NA,NA,"grass",13.6,NA,NA,NA,11,NA,3,"../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","20diluted","Wind tunnel",NA,"09-11-2021 10:42","09-11-2021 10:42","D:1.I:AU.Pr:eGylle.F:../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx.E:21E.F:WUR.P:9.T:20diluted.R:3.R2:.T:2021-11-09 10:42:00","D:1.I:AU.Pr:eGylle.E:21E","m i","Pedersen, Johanna",34.3,NA,1.55,2.41,3.98,5.88,7.51,8.34,9.06,10.2,10.2,10.2,NA,1.55,2.41,3.98,5.88,7.51,8.34,9.06,10.2,10.2,10.2,NA,0.0454,0.0704,0.116,0.172,0.219,0.243,0.264,0.298,0.298,0.298,NA,0,0,0,0,0,0,0,0,0,0,NA,9.48,9.82,9.73,8.25,7.9,7.83,7.75,7.67,7.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,855,94,1.73,0.00676,0.231,1.73,9.83,1.73,171,2021-11-09 10:42:00,2021-11-16 11:56:00,"2",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2021-11-09,"m i",NA,205,345,1930,1934
